geo_id,county_name,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,employment_%_unemployment_rate,%_eduction_population_25_and_over_less_than_9th_grade,%_eduction_population_25_and_over_9th-12th_no_diploma,%_eduction_population_25_and_over_high_school_graduate,%_eduction_population_25_and_over_some_college_no_degree,%_eduction_population_25_and_over_associates_degree,%_eduction_population_25_and_over_bachelors_degree,%_eduction_population_25_and_over_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
0500000US06037,Los Angeles County,10098052,3.0,0.9944504028097321,4976788,5121264,4893603,5204449,20307,1451560,795505,24821,29924,223280,209713,13567,2659052,4869658,1801478,922427,1103131,370471,672151,3306109,2989974,2714350,22589,284152,468036,165067,506432,283832,216025,295370,628758,1003878,549162,290342,156015,3306109,192319,168753,296864,282438,386040,534611,396793,500603,239855,307833,64251,94484,3306109,1109456,2196653,5226836,4869658,357178,2884764,6.8,12.6,8.7,20.7,19.2,7.0,20.7,11.1,2242820,6515718,1271912,66832,471391,454812,6641096,3456956,624745,607905,626594,654903,738416,1609935,1387454,1369838,631221,547764,734393,384700,180184
0500000US06065,Riverside County,2383286,3.27,0.968306903192746,1186188,1197098,1154517,1228769,10064,147706,144503,5846,5345,58837,56161,2676,856468,1007795,297244,213776,233962,113079,149734,718349,657216,608643,15232,87664,86267,29095,129870,65157,14677,50780,103724,208682,115992,52608,48047,718349,39712,30031,64175,65380,87029,124931,94201,116546,51748,44596,63948,84391,718349,274850,443499,1102504,1007795,94709,735810,8.6,9.1,9.2,26.9,24.9,8.0,13.9,7.9,612817,1423514,325413,21685,131421,116691,1867048,516238,158008,169403,177796,177697,170153,328917,303627,303884,142066,123126,186772,101900,39937
0500000US06085,Santa Clara County,1922200,2.97,0.9940399989210791,970469,951731,495455,1426745,3003,685265,45379,6231,4743,66212,62474,3738,615912,985838,523343,146473,172874,60230,82918,635525,605466,576421,5281,50085,165363,20368,84494,28399,50948,46925,203242,185953,80611,40075,24094,635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,635525,233992,401533,1035436,985838,49598,501131,4.8,6.7,5.2,14.5,15.4,6.9,27.3,24.0,432332,1237908,242533,9756,64875,77148,1177545,744655,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780
0500000US06041,Marin County,260295,2.4,0.9428959996290944,127113,133182,41335,218960,435,14815,5597,292,2453,9559,9282,277,185809,131425,71865,18884,26345,7511,6820,105258,99111,95274,901,7675,6135,3193,12150,3974,4977,13220,26350,28470,12055,7895,4430,105258,3448,2877,5474,5554,7858,12246,10687,17758,11730,27626,110217,168429,105258,30323,74935,136574,131425,5149,76231,3.8,3.9,2.9,10.9,17.0,6.5,33.2,25.6,52777,149085,53690,1252,8897,12662,212306,47989,12292,15188,16044,14371,11859,22746,31827,41362,20429,19552,32032,15888,6705
0500000US06093,Siskiyou County,43540,2.23,0.6780357840097384,21706,21834,5336,38204,1283,671,619,120,33,2088,2062,26,33390,16725,5545,3392,3436,2482,1870,19257,16453,14978,1795,999,955,328,1903,691,257,490,1069,4127,1734,904,1473,19257,1554,1307,2680,2194,2869,3504,2157,1939,619,434,44200,63208,19257,4612,14645,18165,16725,1440,17660,7.9,3.2,6.8,25.5,30.5,11.4,14.9,7.7,8787,24221,10421,378,4114,3918,41285,2255,2257,2695,2309,2459,2028,4439,4286,5085,3768,3751,6451,2829,1183
0500000US06089,Shasta County,179085,2.49,0.7641381608174145,87859,91226,17605,161480,4014,5326,2140,182,151,6092,5863,229,143575,72392,23611,15821,17587,7609,7764,70473,62041,55518,1454,5495,4083,1423,9512,3094,1221,3958,6801,19105,7284,4267,4695,70473,4231,4935,7857,7541,10154,13004,8110,8201,3722,2718,50905,69130,70473,19384,51089,77216,72392,4824,67636,6.2,2.4,6.8,24.8,32.2,11.6,14.6,7.6,38494,104111,35043,1383,15944,14344,169322,9763,10520,10893,10500,10808,10213,22779,19093,22249,12939,13470,20852,10598,4171
0500000US06015,Del Norte County,27424,2.48,0.9357831152020709,14575,12849,5340,22084,1841,937,758,17,128,1231,1205,26,17172,8823,2893,2787,1527,820,796,9799,8571,7523,381,379,322,83,1022,164,61,267,487,2482,1146,346,1683,9799,879,829,1290,1115,1003,2012,1140,934,281,316,45258,61652,9799,2914,6885,9619,8823,796,12373,8.3,4.5,14.5,31.5,26.9,8.3,8.3,6.0,5929,13892,4541,331,2761,2029,25498,1926,1584,1547,1849,1533,1474,4081,3448,3370,2151,1802,2808,1166,611
0500000US06021,Glenn County,27897,2.75,0.6528721868066073,14171,13726,11504,16393,414,820,223,17,0,412,410,2,14507,10994,2459,2009,1948,2588,1990,10017,8341,6988,2603,552,909,199,1401,581,50,203,464,1949,884,646,553,10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,10017,3626,6391,11800,10994,806,9539,6.8,13.8,10.9,28.2,24.6,8.6,10.9,3.0,7458,15878,4257,364,2325,1933,22641,5256,2051,1760,2347,2031,1784,3447,3385,3382,1652,1758,2445,1363,492
0500000US06007,Butte County,227075,2.55,0.8781719635378172,112513,114562,36358,190717,1738,9900,3303,341,406,10639,10350,289,164390,94908,34326,20568,20485,8561,10968,86797,78815,72243,3792,5506,6230,1740,12823,3287,1680,4995,8871,26046,11195,4549,4194,86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,86797,23182,63615,103993,94908,9085,82599,8.7,3.9,6.8,22.7,29.8,10.3,17.5,9.0,45583,139711,39216,2574,20427,15145,209909,17166,12523,13858,11572,15615,25617,28693,24065,25068,15004,14841,23163,11730,5326
0500000US06063,Plumas County,18699,2.28,0.11857287180305205,9423,9276,1629,17070,387,200,194,41,126,551,551,0,15571,7536,2614,1852,1287,975,808,8047,6778,6104,313,769,469,42,787,453,70,235,534,1830,932,459,643,8047,402,610,861,720,1189,1498,1057,1048,397,265,53270,71648,8047,1685,6362,8052,7536,516,7933,6.4,1.5,4.6,25.2,32.7,12.6,13.3,10.2,3063,10574,4907,222,1687,1502,17944,755,859,893,827,992,698,1714,1844,2211,1592,2081,3160,1410,418
0500000US06079,San Luis Obispo County,281455,2.52,0.8875105523981759,142769,138686,63002,218453,1363,9924,4912,258,244,7178,6955,223,194574,129358,50946,26817,26782,13709,11104,105317,97444,90752,4383,11017,9026,2912,14469,5637,2056,5764,14045,29918,16234,6548,7349,105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,105317,26643,78674,135533,129358,6175,99422,4.6,4.1,5.0,19.8,25.9,10.5,21.4,13.2,50426,172552,51913,2019,13540,16056,252344,29111,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412
0500000US06029,Kern County,883053,3.18,0.9000241058346118,452646,430407,465842,417211,4202,40273,45053,1153,1039,18461,17011,1450,307030,339384,90646,63177,65664,71402,48495,267913,228712,205715,56071,22692,17722,10313,36465,18374,3452,12008,27389,68154,29630,15436,21678,267913,17667,15647,30030,28629,36738,47612,30489,35313,14736,11052,52479,71440,267913,118202,149711,378440,339384,39056,272808,10.3,13.6,12.6,27.7,22.8,7.2,10.7,5.4,257361,506960,90257,9279,52065,34097,706709,176344,71173,72357,72906,65963,68554,135500,110974,102382,49204,42035,55461,26402,10142
0500000US06059,Orange County,3164182,3.02,0.9854922958523684,1562429,1601753,1080195,2083987,6348,629637,50412,8541,5881,87132,82896,4236,1296036,1578079,658308,272860,373300,101631,171980,1032373,974586,921485,8771,90153,198904,56164,165841,55229,31976,135201,227315,304398,173459,86644,44024,1032373,43771,30304,62835,66044,96088,157083,132431,189165,107421,147231,85398,117194,1032373,362611,669762,1662510,1578079,84431,874018,5.1,8.2,6.7,17.1,20.3,7.8,25.7,14.1,710247,2002915,434315,20658,116054,132906,2208880,955302,188956,189548,206380,208793,218993,453121,415919,453608,211722,176654,249211,131180,60097
0500000US06009,Calaveras County,45235,2.57,0.8126347892386451,22434,22801,5297,39938,374,568,299,126,52,1614,1595,19,36905,17114,5753,3360,4173,1977,1851,17417,15073,13567,505,1985,1381,346,1913,865,328,713,2143,3550,1349,750,1286,17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,17417,3647,13770,18230,17114,1116,20292,6.1,3.3,6.3,27.6,31.8,12.3,12.7,6.0,7690,25017,12135,385,4464,4754,42669,2566,1936,2398,1926,2319,2054,3929,4212,5878,3966,4403,7469,3517,1228
