geo_id,state_id,county_id,county_name,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration
0500000US17091,17,091,Kankakee County,945,2708,7511,1392,6110,3361,645,2632,3142,13706,4338,2105,1944
0500000US17043,17,043,DuPage County,1101,23280,59261,19490,48599,29738,12524,44343,72542,103602,41052,22616,11710
0500000US17167,17,167,Sangamon County,1399,4284,4617,2138,10632,4288,1583,7463,8112,25265,8590,4669,12268
0500000US17129,17,129,Menard County,284,481,252,171,520,424,63,494,401,1633,262,344,748
0500000US17031,17,031,Cook County,4403,119212,247352,72063,248700,180343,55804,205038,371057,578789,251206,125739,89290
0500000US17141,17,141,Ogle County,923,1587,4659,686,2322,2062,243,1478,1510,5804,1675,1045,885
0500000US17137,17,137,Morgan County,664,825,1538,501,1751,878,218,1170,660,4377,1161,842,1068
0500000US17177,17,177,Stephenson County,975,1199,4098,479,2565,854,211,1146,1393,5208,1475,1126,493
0500000US17193,17,193,White County,731,366,801,172,562,335,70,247,328,1388,377,325,224
0500000US17203,17,203,Woodford County,590,1147,3032,699,2132,832,351,1295,1305,4178,1655,1086,498
0500000US17071,17,071,Henderson County,206,268,620,101,251,281,52,123,145,758,160,203,94
0500000US17111,17,111,McHenry County,1441,11886,25290,6096,20142,7954,3328,11550,18555,31405,13337,7782,4705
0500000US17113,17,113,McLean County,887,3740,5763,1795,10103,3158,1212,17508,7291,23583,9196,3743,2428
0500000US17145,17,145,Perry County,495,481,1033,114,990,519,88,242,504,2005,548,480,489
0500000US17149,17,149,Pike County,598,552,765,327,726,566,52,424,311,1650,322,273,369
0500000US17161,17,161,Rock Island County,649,3860,12060,1750,8528,4628,924,3588,5588,15041,6049,2750,2751
0500000US17163,17,163,St. Clair County,798,6570,10310,2743,13951,8098,1712,7152,12631,28270,11933,5856,8578
0500000US17185,17,185,Wabash County,426,305,1091,83,503,417,56,150,309,1292,294,258,141
0500000US17013,17,013,Calhoun County,139,220,176,62,199,81,8,129,110,510,216,121,76
0500000US17035,17,035,Cumberland County,255,413,1122,204,564,280,83,187,162,1268,360,228,144
0500000US17085,17,085,Jo Daviess County,637,741,1626,269,1208,660,182,747,709,1843,1348,498,255
0500000US17089,17,089,Kane County,1406,17139,44367,9692,29396,15302,4776,18349,33497,50100,24321,11155,6613
0500000US17101,17,101,Lawrence County,488,486,853,192,613,185,65,358,379,1639,502,295,278
0500000US17009,17,009,Brown County,123,130,186,460,227,254,40,112,62,397,164,104,189
0500000US17123,17,123,Marshall County,256,352,1043,186,596,265,78,273,395,1165,342,296,157
0500000US17075,17,075,Iroquois County,992,944,1633,539,1464,850,154,804,446,3330,1058,693,353
0500000US17021,17,021,Christian County,779,925,1822,305,1354,1134,284,713,881,4070,1053,783,862
0500000US17025,17,025,Clay County,439,412,1336,132,573,329,56,267,322,1496,271,233,227
0500000US17059,17,059,Gallatin County,240,153,216,64,280,224,25,73,96,541,59,62,106
0500000US17077,17,077,Jackson County,672,1142,1746,222,3233,1022,224,1088,1366,9512,2444,1135,1253
0500000US17133,17,133,Monroe County,355,1413,2143,541,1491,1136,303,1564,1673,4510,1300,783,698
0500000US17143,17,143,Peoria County,781,3999,12864,1543,9208,3336,1518,4697,8468,23193,7270,3826,2533
0500000US17181,17,181,Union County,344,438,622,57,812,428,58,226,397,2327,563,286,590
0500000US17201,17,201,Winnebago County,590,7074,30059,3402,14819,7022,1892,5828,11999,28414,11610,6457,3585
0500000US17147,17,147,Piatt County,452,662,1216,303,921,538,101,622,537,1914,566,336,407
0500000US17153,17,153,Pulaski County,111,163,89,62,98,177,13,77,76,566,160,60,211
0500000US17169,17,169,Schuyler County,218,111,468,188,256,63,24,147,96,761,206,109,225
0500000US17175,17,175,Stark County,328,178,417,88,291,71,18,136,184,548,75,133,41
0500000US17045,17,045,Edgar County,665,403,1813,118,923,389,30,423,339,1887,556,325,435
0500000US17005,17,005,Bond County,253,571,1069,350,710,558,155,271,548,1903,516,344,233
0500000US17007,17,007,Boone County,627,1567,5753,598,3384,1728,445,1168,2091,4348,2232,844,963
0500000US17011,17,011,Bureau County,929,859,2738,647,2357,1003,148,595,743,3536,1259,777,438
0500000US17015,17,015,Carroll County,440,408,1471,137,635,343,88,327,422,1438,350,295,241
0500000US17029,17,029,Coles County,701,1204,3763,369,2812,749,698,1189,1569,7652,2327,1353,601
0500000US17033,17,033,Crawford County,402,505,1858,117,671,338,125,425,387,1802,570,401,399
0500000US18105,18,105,Monroe County,330,3016,6719,1054,7274,1641,1866,3172,5749,26696,9037,3440,2605
0500000US18045,18,045,Fountain County,201,475,2242,211,712,354,82,467,347,1305,436,394,280
