geo_id,state_id,county_id,county_name,race_total_population,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone
0500000US01033,01,033,Colbert County,54495,1349,53146,367,244,8561,29,18,1062,1051,11,42865
0500000US01045,01,045,Dale County,49255,3070,46185,300,533,9611,4,244,1488,1456,32,34005
0500000US01055,01,055,Etowah County,102939,3880,99059,424,739,15816,66,80,1560,1560,0,80374
0500000US01049,01,049,DeKalb County,71200,10220,60980,910,140,979,99,11,1400,1392,8,57441
0500000US01075,01,075,Lamar County,13933,218,13715,0,0,1558,0,107,69,69,0,11981
0500000US01111,01,111,Randolph County,22574,665,21909,51,68,4413,51,13,322,315,7,16991
0500000US01097,01,097,Mobile County,414659,11973,402686,2872,8117,146600,62,1315,6733,6545,188,236987
0500000US01127,01,127,Walker County,64493,1545,62948,55,309,3954,0,80,1075,1075,0,57475
0500000US01029,01,029,Cleburne County,14938,362,14576,39,3,393,0,11,291,291,0,13839
0500000US01063,01,063,Greene County,8426,143,8283,48,0,6707,0,0,83,61,22,1445
0500000US01005,01,005,Barbour County,25782,1106,24676,63,85,12199,1,86,344,331,13,11898
0500000US01011,01,011,Bullock County,10352,51,10301,122,56,7893,0,2,0,0,0,2228
0500000US01015,01,015,Calhoun County,115098,4203,110895,227,1065,23618,9,38,2515,2455,60,83423
0500000US01025,01,025,Clarke County,24387,48,24339,25,123,11173,0,0,123,123,0,12895
0500000US01101,01,101,Montgomery County,226941,7749,219192,283,6059,130513,39,189,3716,3422,294,78393
0500000US01095,01,095,Marshall County,95145,12961,82184,334,570,2456,46,90,1391,1331,60,77297
0500000US01067,01,067,Henry County,17124,448,16676,4,0,4727,0,0,140,140,0,11805
0500000US01089,01,089,Madison County,357560,17294,340266,1847,8992,85293,307,1066,10646,10536,110,232115
0500000US01123,01,123,Tallapoosa County,40636,954,39682,130,155,11012,0,0,385,383,2,28000
0500000US01131,01,131,Wilcox County,10809,70,10739,11,0,7511,0,0,316,316,0,2901
0500000US02068,02,068,Denali Borough,2232,9,2223,44,101,18,0,5,245,245,0,1810
0500000US02122,02,122,Kenai Peninsula Borough,58220,2375,55845,4376,886,317,194,103,3015,3015,0,46954
0500000US02016,02,016,Aleutians West Census Area,5750,798,4952,634,2270,246,147,4,262,255,7,1389
0500000US02060,02,060,Bristol Bay Borough,890,32,858,291,3,4,2,0,78,78,0,480
0500000US02150,02,150,Kodiak Island Borough,13649,1219,12430,1767,3141,27,57,44,641,621,20,6753
0500000US02188,02,188,Northwest Arctic Borough,7734,89,7645,6379,76,77,0,0,271,270,1,842
0500000US02050,02,050,Bethel Census Area,18040,429,17611,14838,187,119,3,0,670,670,0,1794
0500000US02185,02,185,North Slope Borough,9797,207,9590,5068,540,75,169,0,695,690,5,3043
0500000US02220,02,220,Sitka City and Borough,8738,566,8172,1045,619,88,8,3,1000,963,37,5409
0500000US02090,02,090,Fairbanks North Star Borough,99653,7951,91702,6693,2924,4250,525,88,7034,6972,62,70188
0500000US02130,02,130,Ketchikan Gateway Borough,13804,701,13103,1934,1025,103,5,60,1138,1131,7,8838
0500000US02170,02,170,Matanuska-Susitna Borough,103464,4944,98520,5751,1433,1022,195,207,7692,7519,173,82220
0500000US02180,02,180,Nome Census Area,9925,253,9672,7322,155,83,43,0,605,604,1,1464
0500000US02070,02,070,Dillingham Census Area,4975,173,4802,3534,76,67,3,0,333,333,0,789
0500000US02100,02,100,Haines Borough,2518,97,2421,212,74,1,4,0,171,171,0,1959
0500000US02282,02,282,Yakutat City and Borough,689,50,639,189,57,2,16,0,83,83,0,292
0500000US02110,02,110,Juneau City and Borough,32330,2123,30207,3414,2129,321,320,102,2898,2887,11,21023
0500000US02164,02,164,Lake and Peninsula Borough,1375,19,1356,916,34,9,5,2,85,85,0,305
0500000US02240,02,240,Southeast Fairbanks Census Area,6876,381,6495,907,156,24,0,0,302,294,8,5106
0500000US02290,02,290,Yukon-Koyukuk Census Area,5415,131,5284,3782,33,7,0,0,302,302,0,1160
0500000US02020,02,020,Anchorage Municipality,296112,26847,269265,20443,27938,15671,6694,800,24510,24232,278,173209
0500000US02013,02,013,Aleutians East Borough,3425,346,3079,1322,878,117,25,0,222,222,0,515
0500000US02230,02,230,Skagway Municipality,1061,55,1006,45,19,7,0,3,45,38,7,887
0500000US02198,02,198,Prince of Wales-Hyder Census Area,6474,244,6230,2533,76,24,41,9,611,602,9,2936
0500000US02195,02,195,Petersburg Borough,3255,337,2918,221,299,23,17,1,307,305,2,2050
0500000US02158,02,158,Kusilvak Census Area,8198,81,8117,7457,32,23,2,3,302,302,0,298
0500000US04013,04,013,Maricopa County,4253913,1311091,2942822,67454,172890,220519,8337,6437,98309,94940,3369,2368876
0500000US04009,04,009,Graham County,37879,12453,25426,4745,246,683,51,0,415,415,0,19286
0500000US04023,04,023,Santa Cruz County,46584,38899,7685,99,392,100,0,18,148,148,0,6928
0500000US04012,04,012,La Paz County,20701,5614,15087,2346,158,168,8,0,434,434,0,11973
0500000US04015,04,015,Mohave County,206064,33481,172583,4344,2427,2030,446,159,3270,3221,49,159907
0500000US04005,04,005,Coconino County,140217,19666,120551,36365,2767,1704,176,267,3452,3312,140,75820
0500000US04027,04,027,Yuma County,207829,131670,76159,1887,2419,3569,99,61,2969,2904,65,65155
0500000US04011,04,011,Greenlee County,9504,4414,5090,369,29,203,0,0,15,15,0,4474
0500000US04021,04,021,Pinal County,419721,125373,294348,17488,7075,17529,1320,494,10573,10290,283,239869
0500000US05123,05,123,St. Francis County,26294,708,25586,108,152,14575,0,36,163,131,32,10552
0500000US05145,05,145,White County,78804,3382,75422,265,552,3140,21,33,1897,1897,0,69514
0500000US05099,05,099,Nevada County,8440,24,8416,6,26,2927,1,0,132,132,0,5324
0500000US05037,05,037,Cross County,16998,330,16668,24,10,3308,0,8,934,934,0,12384
0500000US05043,05,043,Drew County,18502,609,17893,16,43,5321,0,0,177,177,0,12336
0500000US05027,05,027,Columbia County,23892,650,23242,82,267,8291,0,249,202,202,0,14151
0500000US05125,05,125,Saline County,118009,5451,112558,359,1385,8277,49,115,1851,1851,0,100522
0500000US05141,05,141,Van Buren County,16684,508,16176,115,14,65,0,0,369,361,8,15613
0500000US05065,05,065,Izard County,13559,302,13257,139,18,254,0,0,207,202,5,12639
0500000US05079,05,079,Lincoln County,13695,516,13179,38,0,4268,0,0,64,62,2,8809
0500000US05083,05,083,Logan County,21757,642,21115,228,503,293,0,9,361,361,0,19721
0500000US05035,05,035,Crittenden County,49013,1210,47803,154,352,23706,76,24,2586,2586,0,20905
0500000US05047,05,047,Franklin County,17780,545,17235,183,105,169,31,0,373,373,0,16374
0500000US05109,05,109,Pike County,10808,703,10105,75,45,355,0,0,172,172,0,9458
0500000US05069,05,069,Jefferson County,70424,1432,68992,213,661,39852,0,87,548,548,0,27631
0500000US05097,05,097,Montgomery County,8993,383,8610,101,105,20,0,56,202,198,4,8126
0500000US05127,05,127,Scott County,10442,792,9650,248,94,28,0,15,459,454,5,8806
0500000US05131,05,131,Sebastian County,127461,17860,109601,1456,5590,8789,18,91,4479,4302,177,89178
0500000US05007,05,007,Benton County,258980,42577,216403,3374,9803,4236,1440,470,6227,6115,112,190853
0500000US05017,05,017,Chicot County,10826,580,10246,24,43,5856,0,0,101,85,16,4222
0500000US05071,05,071,Johnson County,26291,3627,22664,45,490,397,19,68,666,664,2,20979
0500000US05077,05,077,Lee County,9398,167,9231,20,13,5294,0,0,59,59,0,3845
0500000US05041,05,041,Desha County,11887,698,11189,23,39,5596,0,2,119,119,0,5410
0500000US05049,05,049,Fulton County,12139,183,11956,55,6,71,5,0,255,255,0,11564
0500000US05051,05,051,Garland County,98296,5434,92862,761,523,7989,6,364,2330,2273,57,80889
0500000US05115,05,115,Pope County,63644,5563,58081,335,654,1862,0,19,1516,1500,16,53695
0500000US05117,05,117,Prairie County,8244,61,8183,29,29,1073,0,0,54,45,9,6998
0500000US39161,39,161,Van Wert County,28281,913,27368,2,95,344,0,17,291,288,3,26619
0500000US39167,39,167,Washington County,60671,654,60017,292,391,744,10,51,808,803,5,57721
0500000US39171,39,171,Williams County,36936,1598,35338,99,209,371,6,0,357,357,0,34296
0500000US39011,39,011,Auglaize County,45784,772,45012,89,141,228,36,99,566,560,6,43853
0500000US39029,39,029,Columbiana County,104003,1793,102210,110,123,2239,3,54,1895,1828,67,97786
0500000US39037,39,037,Darke County,51734,792,50942,113,236,344,0,0,480,478,2,49769
0500000US39123,39,123,Ottawa County,40709,2046,38663,78,75,467,3,59,402,402,0,37579
0500000US39051,39,051,Fulton County,42305,3647,38658,142,170,162,14,16,427,427,0,37727
0500000US39065,39,065,Hardin County,31542,517,31025,3,242,207,0,9,554,516,38,30010
0500000US39079,39,079,Jackson County,32524,341,32183,13,38,192,29,0,673,654,19,31238
0500000US39095,39,095,Lucas County,432379,30210,402169,895,7355,80556,117,1108,14195,13913,282,297943
0500000US39117,39,117,Morrow County,34976,504,34472,41,22,363,0,15,443,440,3,33588
0500000US39121,39,121,Noble County,14443,103,14340,5,13,816,0,0,173,173,0,13333
0500000US39135,39,135,Preble County,41207,339,40868,107,189,228,0,3,570,570,0,39771
0500000US39147,39,147,Seneca County,55475,2794,52681,167,317,1407,0,13,858,858,0,49919
0500000US39151,39,151,Stark County,373475,7493,365982,471,3181,27264,66,851,10952,10699,253,323197
0500000US39003,39,003,Allen County,103642,3077,100565,220,753,12206,0,177,3248,3213,35,83961
0500000US39031,39,031,Coshocton County,36574,367,36207,86,110,403,0,27,476,476,0,35105
0500000US39033,39,033,Crawford County,42021,682,41339,27,232,369,14,14,590,587,3,40093
0500000US39041,39,041,Delaware County,197008,4982,192026,181,11579,6435,55,190,4680,4528,152,168906
0500000US39059,39,059,Guernsey County,39274,465,38809,79,148,463,0,201,875,875,0,37043
0500000US39073,39,073,Hocking County,28495,296,28199,20,86,231,0,25,357,357,0,27480
0500000US39107,39,107,Mercer County,40806,781,40025,0,179,252,179,34,393,393,0,38988
0500000US39141,39,141,Ross County,77051,947,76104,15,418,4036,5,221,2354,2346,8,69055
0500000US39035,39,035,Cuyahoga County,1253783,72492,1181291,1785,36534,367181,247,2834,30230,29074,1156,742480
0500000US39093,39,093,Lorain County,306713,29923,276790,695,3348,23924,66,238,7779,7520,259,240740
0500000US39109,39,109,Miami County,104800,1697,103103,122,1404,2152,19,28,2428,2394,34,96950
0500000US39113,39,113,Montgomery County,532034,15138,516896,1102,11184,108566,157,1365,16494,16151,343,378028
0500000US39155,39,155,Trumbull County,201794,3539,198255,272,987,16448,9,155,4313,4142,171,176071
0500000US39173,39,173,Wood County,129936,7113,122823,156,2158,3395,16,28,2143,2112,31,114927
0500000US39007,39,007,Ashtabula County,98136,3997,94139,158,486,3462,53,89,1911,1911,0,87980
0500000US40001,40,001,Adair County,22113,1461,20652,9404,145,69,39,4,2070,2068,2,8921
0500000US40137,40,137,Stephens County,43983,3320,40663,2164,273,748,22,23,2056,2036,20,35377
0500000US40025,40,025,Cimarron County,2189,473,1716,10,4,5,0,0,3,3,0,1694
0500000US40019,40,019,Carter County,48406,3422,44984,3573,550,3108,6,20,3682,3665,17,34045
0500000US40053,40,053,Grant County,4418,215,4203,31,5,50,3,2,205,205,0,3907
0500000US40055,40,055,Greer County,5943,669,5274,145,0,495,0,0,177,170,7,4457
0500000US40087,40,087,McClain County,38634,3048,35586,2040,119,373,23,11,2326,2326,0,30694
0500000US40091,40,091,McIntosh County,19819,534,19285,3126,13,535,0,0,2125,2125,0,13486
0500000US40099,40,099,Murray County,13875,894,12981,1199,81,220,0,0,1416,1416,0,10065
0500000US40103,40,103,Noble County,11411,416,10995,774,12,20,5,12,874,871,3,9298
0500000US40115,40,115,Ottawa County,31566,1761,29805,5174,219,308,232,4,3263,3262,1,20605
0500000US40135,40,135,Sequoyah County,41359,1680,39679,8220,296,730,21,0,4335,4321,14,26077
0500000US40145,40,145,Wagoner County,77850,4643,73207,6488,1147,2673,63,103,6816,6788,28,55917
0500000US40151,40,151,Woods County,9127,648,8479,123,87,210,0,2,464,402,62,7593
0500000US40015,40,015,Caddo County,29342,3662,25680,6364,113,652,42,23,1703,1698,5,16783
0500000US40101,40,101,Muskogee County,69084,4164,64920,12388,495,7369,19,103,5746,5676,70,38800
0500000US40107,40,107,Okfuskee County,12115,472,11643,1611,11,919,0,13,1647,1645,2,7442
0500000US40013,40,013,Bryan County,45759,2663,43096,6752,246,856,46,23,2468,2453,15,32705
0500000US40059,40,059,Harper County,3847,896,2951,13,0,4,0,0,27,27,0,2907
0500000US40071,40,071,Kay County,44880,3519,41361,3532,216,979,0,4,2964,2948,16,33666
0500000US40035,40,035,Craig County,14493,516,13977,3114,130,439,15,0,1029,1015,14,9250
