type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6055,acfosw,U,N,100,4385,38703,75089,0,118177,06055,Napa County
county,6057,acfosw,R,N,100,25107,16501,1159,0,42767,06057,Nevada County
county,6057,acfosw,U,N,100,4075,52260,653,0,56988,06057,Nevada County
county,6059,acfosw,R,N,100,1668,3227,5903,2280,13078,06059,Orange County
county,6059,acfosw,U,N,100,44404,1145142,1918083,54985,3162614,06059,Orange County
county,6061,acfosw,R,N,100,32717,26879,4642,5602,69840,06061,Placer County
county,6061,acfosw,R,T,100,11,1,0,0,12,06061,Placer County
county,6061,acfosw,U,N,100,18222,82463,110159,117628,328472,06061,Placer County
county,6063,acfosw,R,N,100,11795,2061,47,0,13903,06063,Plumas County
county,6063,acfosw,R,T,100,33,0,0,0,33,06063,Plumas County
county,6063,acfosw,U,N,100,4749,122,0,0,4871,06063,Plumas County
county,6065,acfosw,R,N,100,59449,56203,40017,16496,172165,06065,Riverside County
county,6065,acfosw,R,T,100,4672,2491,194,410,7767,06065,Riverside County
county,6065,acfosw,U,N,100,10436,294526,775358,1175288,2255608,06065,Riverside County
county,6065,acfosw,U,T,100,3742,25656,5434,166,34998,06065,Riverside County
county,6067,acfosw,R,N,100,27037,8036,1703,2194,38970,06067,Sacramento County
county,6067,acfosw,U,N,100,34515,447937,652648,377984,1513084,06067,Sacramento County
county,6069,acfosw,R,N,100,7062,9276,2158,503,18999,06069,San Benito County
county,6069,acfosw,U,N,100,0,556,18256,24991,43803,06069,San Benito County
county,6071,acfosw,R,N,100,94848,49021,10470,8262,162601,06071,San Bernardino County
county,6071,acfosw,R,T,100,1781,1095,68,0,2944,06071,San Bernardino County
county,6071,acfosw,U,N,100,15592,263583,717025,1017858,2014058,06071,San Bernardino County
county,6071,acfosw,U,T,100,325,75,70,0,470,06071,San Bernardino County
county,6073,acfosw,R,N,100,14054,69313,40286,17130,140783,06073,San Diego County
county,6073,acfosw,R,T,100,308,7651,1344,340,9643,06073,San Diego County
county,6073,acfosw,U,N,100,58442,637441,1995823,495816,3187522,06073,San Diego County
county,6073,acfosw,U,T,100,381,1,0,0,382,06073,San Diego County
county,6075,acfosw,R,N,100,2,0,0,0,2,06075,San Francisco County
county,6075,acfosw,U,N,100,43,20235,224982,636287,881547,06075,San Francisco County
county,6077,acfosw,R,N,100,46191,22605,6682,0,75478,06077,San Joaquin County
county,6077,acfosw,U,N,100,19451,323751,343462,0,686664,06077,San Joaquin County
county,6079,acfosw,R,N,100,24867,21750,5964,545,53126,06079,San Luis Obispo County
county,6079,acfosw,U,N,100,6980,100754,110542,11709,229985,06079,San Luis Obispo County
county,6081,acfosw,R,N,100,1062,4128,9851,2580,17621,06081,San Mateo County
county,6081,acfosw,U,N,100,797,36208,148941,563006,748952,06081,San Mateo County
county,6083,acfosw,R,N,100,17429,12039,580,477,30525,06083,Santa Barbara County
county,6083,acfosw,R,T,100,3,0,0,0,3,06083,Santa Barbara County
county,6083,acfosw,U,N,100,15570,360289,37376,2441,415676,06083,Santa Barbara County
county,6083,acfosw,U,T,100,1,294,0,0,295,06083,Santa Barbara County
county,6085,acfosw,R,N,100,2317,15559,10951,2391,31218,06085,Santa Clara County
county,6085,acfosw,U,N,100,9173,100212,540894,1246355,1896634,06085,Santa Clara County
county,6087,acfosw,R,N,100,2058,15197,11153,7406,35814,06087,Santa Cruz County
county,6087,acfosw,U,N,100,429,18310,46422,172238,237399,06087,Santa Cruz County
county,6089,acfosw,R,N,100,40732,12901,225,0,53858,06089,Shasta County
county,6089,acfosw,R,T,100,42,0,0,0,42,06089,Shasta County
county,6089,acfosw,U,N,100,1700,114992,9454,0,126146,06089,Shasta County
county,6089,acfosw,U,T,100,0,34,0,0,34,06089,Shasta County
county,6091,acfosw,R,N,100,2944,52,0,0,2996,06091,Sierra County
county,6091,acfosw,U,N,100,0,9,0,0,9,06091,Sierra County
county,6093,acfosw,R,N,100,13475,15768,24,0,29267,06093,Siskiyou County
county,6093,acfosw,R,T,100,279,97,0,0,376,06093,Siskiyou County
county,6093,acfosw,U,N,100,248,13409,2,0,13659,06093,Siskiyou County
county,6093,acfosw,U,T,100,16,221,0,0,237,06093,Siskiyou County
county,6095,acfosw,R,N,100,17557,5591,3365,0,26513,06095,Solano County
county,6095,acfosw,U,N,100,20413,150723,249497,495,421128,06095,Solano County
county,6097,acfosw,R,N,100,17396,37307,13412,189,68304,06097,Sonoma County
county,6097,acfosw,R,T,100,79,0,0,0,79,06097,Sonoma County
county,6097,acfosw,U,N,100,7099,171815,230300,16739,425953,06097,Sonoma County
county,6099,acfosw,R,N,100,31893,14107,669,126,46795,06099,Stanislaus County
county,6099,acfosw,U,N,100,5309,214919,279393,4244,503865,06099,Stanislaus County
county,6101,acfosw,R,N,100,8813,4208,2362,0,15383,06101,Sutter County
county,6101,acfosw,U,N,100,83,29769,39262,12474,81588,06101,Sutter County
county,6103,acfosw,R,N,100,28224,5602,462,0,34288,06103,Tehama County
county,6103,acfosw,R,T,100,2,0,0,0,2,06103,Tehama County
county,6103,acfosw,U,N,100,5042,25740,12,0,30794,06103,Tehama County
county,6105,acfosw,R,N,100,9409,2864,12,0,12285,06105,Trinity County
county,6105,acfosw,R,T,100,0,0,0,0,0,06105,Trinity County
county,6107,acfosw,R,N,100,57638,19249,1472,0,78359,06107,Tulare County
county,6107,acfosw,R,T,100,1193,0,0,0,1193,06107,Tulare County
county,6107,acfosw,U,N,100,32170,239009,114931,531,386641,06107,Tulare County
county,6109,acfosw,R,N,100,512,15593,10708,0,26813,06109,Tuolumne County
county,6109,acfosw,R,T,100,0,98,91,0,189,06109,Tuolumne County
county,6109,acfosw,U,N,100,62,1194,26220,0,27476,06109,Tuolumne County
county,6111,acfosw,R,N,100,10504,13688,5962,2825,32979,06111,Ventura County
county,6111,acfosw,U,N,100,2597,298238,483792,28400,813027,06111,Ventura County
county,6113,acfosw,R,N,100,17040,2886,283,78,20287,06113,Yolo County
county,6113,acfosw,R,T,100,105,0,0,0,105,06113,Yolo County
county,6113,acfosw,U,N,100,11895,40915,91795,55503,200108,06113,Yolo County
county,6115,acfosw,R,N,100,18644,4446,510,0,23600,06115,Yuba County
