type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,02110,acfosw,R,T,0.2,0,0,0,986
county,02110,acfosw,U,N,0.2,0,0,0,20505
county,02110,acfosw,U,T,0.2,0,0,0,4558
county,02122,acfosw,R,N,0.2,0,6,240,6140
county,02122,acfosw,R,T,0.2,0,80,1526,38965
county,02122,acfosw,U,T,0.2,0,0,0,11751
county,02130,acfosw,R,N,0.2,0,0,21,295
county,02130,acfosw,R,T,0.2,0,0,0,2982
county,02130,acfosw,U,N,0.2,0,0,0,32
county,02130,acfosw,U,T,0.2,0,0,3,10568
county,02150,acfosw,R,N,0.2,0,18,308,3101
county,02150,acfosw,R,T,0.2,0,133,144,575
county,02150,acfosw,U,N,0.2,0,0,0,8719
county,02158,acfosw,R,N,0.2,0,26,12,0
county,02158,acfosw,R,T,0.2,0,30,7928,0
county,02164,acfosw,R,N,0.2,0,23,3,0
county,02164,acfosw,R,T,0.2,0,88,1054,424
county,02170,acfosw,R,N,0.2,0,30,263,151
county,02170,acfosw,R,T,0.2,0,0,930,57552
county,02170,acfosw,U,T,0.2,0,0,0,49391
county,02180,acfosw,R,N,0.2,0,80,31,68
county,02180,acfosw,R,T,0.2,0,55,2991,3512
county,02180,acfosw,U,T,0.2,0,0,253,3014
county,02185,acfosw,R,N,0.2,0,982,1207,480
county,02185,acfosw,R,T,0.2,0,123,2652,543
county,02185,acfosw,U,T,0.2,0,0,0,3845
county,02188,acfosw,R,N,0.2,0,363,5,0
county,02188,acfosw,R,T,0.2,0,10,2011,2017
county,02188,acfosw,U,T,0.2,0,0,0,3215
county,02195,acfosw,R,N,0.2,0,0,59,778
county,02195,acfosw,R,T,0.2,0,0,0,1890
county,02198,acfosw,R,N,0.2,0,0,1041,1120
county,02198,acfosw,R,T,0.2,0,0,484,4098
county,02220,acfosw,R,N,0.2,0,0,194,915
county,02220,acfosw,R,T,0.2,0,0,0,690
county,02220,acfosw,U,N,0.2,0,0,0,3138
county,02220,acfosw,U,T,0.2,0,0,0,3556
county,02230,acfosw,R,N,0.2,0,0,0,1
county,02230,acfosw,R,T,0.2,0,0,0,1182
county,02240,acfosw,R,N,0.2,0,0,427,5801
county,02240,acfosw,R,T,0.2,0,0,229,436
county,02261,acfosw,R,N,0.2,0,0,358,7153
county,02261,acfosw,R,T,0.2,0,0,299,1392
county,02275,acfosw,R,N,0.2,0,0,260,1037
county,02275,acfosw,R,T,0.2,0,0,0,1205
county,02282,acfosw,R,N,0.2,0,0,0,0
county,02282,acfosw,R,T,0.2,0,0,352,227
county,02290,acfosw,R,N,0.2,0,306,164,106
county,02290,acfosw,R,T,0.2,0,378,2085,2191
county,04001,acfosw,R,N,0.2,0,0,0,9526
county,04001,acfosw,R,T,0.2,0,0,0,45125
county,04001,acfosw,U,N,0.2,0,0,0,8325
county,04001,acfosw,U,T,0.2,0,0,0,8910
county,04003,acfosw,R,N,0.2,0,0,0,47031
county,04003,acfosw,U,N,0.2,0,0,0,78891
county,04005,acfosw,R,N,0.2,0,0,0,29382
county,04005,acfosw,R,T,0.2,0,0,0,21080
county,04005,acfosw,U,N,0.2,0,0,0,84017
county,04005,acfosw,U,T,0.2,0,0,0,8997
county,04007,acfosw,R,N,0.2,0,0,0,19028
county,04007,acfosw,R,T,0.2,0,0,0,3428
county,04007,acfosw,U,N,0.2,0,0,0,27604
county,04007,acfosw,U,T,0.2,0,0,0,3958
county,04009,acfosw,R,N,0.2,0,0,0,14779
county,04009,acfosw,R,T,0.2,0,0,0,4030
county,04009,acfosw,U,N,0.2,0,0,0,19230
county,04009,acfosw,U,T,0.2,0,0,0,798
county,04011,acfosw,R,N,0.2,0,0,0,4942
county,04011,acfosw,U,N,0.2,0,0,0,4556
county,04012,acfosw,R,N,0.2,0,0,0,9649
county,04012,acfosw,R,T,0.2,0,0,0,2530
county,04012,acfosw,U,N,0.2,0,0,0,4289
county,04012,acfosw,U,T,0.2,0,0,0,4640
county,04013,acfosw,R,N,0.2,0,7,15,209897
county,04013,acfosw,R,T,0.2,0,6,16,14457
county,04013,acfosw,U,N,0.2,0,0,1,4256153
county,04013,acfosw,U,T,0.2,0,0,0,4802
county,04015,acfosw,R,N,0.2,0,0,0,52910
county,04015,acfosw,R,T,0.2,0,0,0,2448
county,04015,acfosw,U,N,0.2,0,0,2,156389
county,04015,acfosw,U,T,0.2,0,0,0,429
county,04017,acfosw,R,N,0.2,0,0,0,27131
county,04017,acfosw,R,T,0.2,0,0,0,35338
county,04017,acfosw,U,N,0.2,0,0,0,38574
county,04017,acfosw,U,T,0.2,0,0,0,9881
county,04019,acfosw,R,N,0.2,0,0,0,83419
county,04019,acfosw,R,T,0.2,0,0,0,14638
county,04019,acfosw,U,N,0.2,0,0,0,943934
county,04019,acfosw,U,T,0.2,0,0,0,5282
county,04021,acfosw,R,N,0.2,0,4,0,126745
county,04021,acfosw,R,T,0.2,0,2,0,15643
county,04021,acfosw,U,N,0.2,0,0,0,319630
county,04021,acfosw,U,T,0.2,0,0,0,712
county,04023,acfosw,R,N,0.2,0,0,0,13149
county,04023,acfosw,U,N,0.2,0,0,0,33349
county,04025,acfosw,R,N,0.2,0,0,0,87173
county,04025,acfosw,R,T,0.2,0,0,0,90
county,04025,acfosw,U,N,0.2,0,0,0,146951
county,04025,acfosw,U,T,0.2,0,0,0,885
county,04027,acfosw,R,N,0.2,0,13,0,27440
county,04027,acfosw,R,T,0.2,0,1,0,1012
county,04027,acfosw,U,N,0.2,0,0,2,185294
county,04027,acfosw,U,T,0.2,0,0,0,25
county,05001,acfosw,R,N,0.2,0,0,0,6378
county,05001,acfosw,U,N,0.2,0,0,0,11108
county,05003,acfosw,R,N,0.2,0,0,0,10372
county,05003,acfosw,U,N,0.2,0,0,0,9285
county,05005,acfosw,R,N,0.2,0,0,0,27947
county,05005,acfosw,U,N,0.2,0,0,0,13985
county,05007,acfosw,R,N,0.2,0,3,10,82485
county,05007,acfosw,U,N,0.2,0,10,9,196609
county,05009,acfosw,R,N,0.2,0,0,0,23374
county,05009,acfosw,U,N,0.2,0,0,0,14058
county,05011,acfosw,R,N,0.2,0,0,0,5328
county,05011,acfosw,U,N,0.2,0,0,0,5435
county,05013,acfosw,R,N,0.2,0,0,0,5189
county,05015,acfosw,R,N,0.2,0,0,0,20863
county,05015,acfosw,U,N,0.2,0,0,0,7514
county,05017,acfosw,R,N,0.2,0,0,0,6007
county,05017,acfosw,U,N,0.2,0,0,0,4111
county,05019,acfosw,R,N,0.2,0,0,0,12722
county,05019,acfosw,U,N,0.2,0,0,0,9597
county,05021,acfosw,R,N,0.2,0,0,0,8981
county,05021,acfosw,U,N,0.2,0,0,0,5570
county,05023,acfosw,R,N,0.2,0,0,0,18922
county,05023,acfosw,U,N,0.2,0,0,0,5997
county,05025,acfosw,R,N,0.2,0,0,0,7956
county,05027,acfosw,R,N,0.2,0,0,0,14019
county,05027,acfosw,U,N,0.2,0,0,0,9438
county,05029,acfosw,R,N,0.2,0,0,0,14686
county,05029,acfosw,U,N,0.2,0,0,0,6160
county,05031,acfosw,R,N,0.2,0,3,16,38706
county,05031,acfosw,U,N,0.2,0,0,0,71586
county,05033,acfosw,R,N,0.2,0,0,0,33334
county,05033,acfosw,U,N,0.2,0,0,0,29923
county,05035,acfosw,R,N,0.2,0,0,0,10790
county,05035,acfosw,U,N,0.2,0,0,0,37165
county,05037,acfosw,R,N,0.2,0,0,0,9028
county,05037,acfosw,U,N,0.2,0,0,0,7391
county,05039,acfosw,R,N,0.2,0,0,0,3871
county,05039,acfosw,U,N,0.2,0,0,0,3138
county,05041,acfosw,R,N,0.2,0,0,0,4033
county,05041,acfosw,U,N,0.2,0,0,0,7328
county,05043,acfosw,R,N,0.2,0,0,0,9005
county,05043,acfosw,U,N,0.2,0,0,0,9214
county,05045,acfosw,R,N,0.2,0,0,0,50957
county,05045,acfosw,U,N,0.2,0,2,1,75046
county,05047,acfosw,R,N,0.2,0,0,0,15120
county,05047,acfosw,U,N,0.2,0,0,0,2595
county,05049,acfosw,R,N,0.2,0,0,0,11604
