geo_id,dl_speed,has_0,has_1,has_2,has_3more,has_access,total_pop,urban_pop,rural_pop,total_access_pop_percent,urban_access_pop_percent,rural_access_pop_percent
0500000US01051,25.0,0,0,5946,75263,81209,81209,36639,44570,1.0,1.0,1.0
0500000US01051,100.0,6802,54677,18592,1138,74407,81209,36639,44570,0.9162408107475772,0.9983624007205437,0.8487323311644605
0500000US01051,250.0,8293,60408,12003,505,72916,81209,36639,44570,0.8978807767611964,0.9983624007205437,0.8152793358761499
0500000US01051,1000.0,69744,11465,0,0,11465,81209,36639,44570,0.1411789333694541,0.20691066895930565,0.08714381871213821
0500000US01053,25.0,0,0,9255,27378,36633,36633,13602,23031,1.0,1.0,1.0
0500000US01053,100.0,12459,24098,76,0,24174,36633,13602,23031,0.6598968143477193,0.9921335097779739,0.46367938865008035
0500000US01053,250.0,14673,21960,0,0,21960,36633,13602,23031,0.5994595037261485,0.9524334656668137,0.39099474621162783
0500000US01053,1000.0,36633,0,0,0,0,36633,13602,23031,0.0,0.0,0.0
0500000US01055,25.0,0,0,4975,97293,102268,102268,63681,38587,1.0,1.0,1.0
0500000US01055,100.0,7512,67966,25297,1493,94756,102268,63681,38587,0.9265459381233622,0.99114335516088,0.8199393578148081
0500000US01055,250.0,7941,75310,17685,1332,94327,102268,63681,38587,0.9223510775609184,0.99114335516088,0.8088216238629591
0500000US01055,1000.0,86100,16168,0,0,16168,102268,63681,38587,0.15809441858645912,0.21847960930261773,0.058439370772539974
0500000US01057,25.0,0,0,13060,3242,16302,16302,2812,13490,1.0,1.0,1.0
0500000US01057,100.0,15136,1166,0,0,1166,16302,2812,13490,0.07152496626180836,0.0,0.08643439584877687
0500000US01057,250.0,15136,1166,0,0,1166,16302,2812,13490,0.07152496626180836,0.0,0.08643439584877687
0500000US01057,1000.0,15146,1156,0,0,1156,16302,2812,13490,0.07091154459575512,0.0,0.08569310600444774
0500000US01059,25.0,0,0,10650,20712,31362,31362,9303,22059,1.0,1.0,1.0
0500000US01059,100.0,13781,17390,191,0,17581,31362,9303,22059,0.5605828709903705,0.999462538965925,0.37549299605603154
0500000US01059,250.0,13781,17500,81,0,17581,31362,9303,22059,0.5605828709903705,0.999462538965925,0.37549299605603154
0500000US01059,1000.0,31341,21,0,0,21,31362,9303,22059,0.0006696001530514636,0.0,0.0009519923840609275
0500000US01061,25.0,0,0,10625,15646,26271,26271,2744,23527,1.0,1.0,1.0
0500000US01061,100.0,11302,14592,377,0,14969,26271,2744,23527,0.5697917856191238,0.9996355685131195,0.5196582649721596
0500000US01061,250.0,24399,1872,0,0,1872,26271,2744,23527,0.07125727989037342,0.0,0.07956815573596293
0500000US01061,1000.0,24399,1872,0,0,1872,26271,2744,23527,0.07125727989037342,0.0,0.07956815573596293
0500000US01065,250.0,7578,6957,116,0,7073,14651,1476,13175,0.4827656815234455,1.0,0.42481973434535103
0500000US01065,1000.0,14651,0,0,0,0,14651,1476,13175,0.0,0.0,0.0
0500000US01067,25.0,0,0,6185,11020,17205,17205,2098,15107,1.0,1.0,1.0
0500000US01067,100.0,8291,8762,79,73,8914,17205,2098,15107,0.5181052019761697,0.9432793136320305,0.45905871450321045
0500000US01067,250.0,17132,73,0,0,73,17205,2098,15107,0.0042429526300494045,0.03479504289799809,0.0
0500000US01067,1000.0,17132,73,0,0,73,17205,2098,15107,0.0042429526300494045,0.03479504289799809,0.0
0500000US01069,25.0,0,1,13406,92475,105882,105882,69361,36521,1.0,1.0,1.0
0500000US01069,100.0,23435,33897,35491,13059,82447,105882,69361,36521,0.7786687066734667,0.9740343997347213,0.4076284877193943
0500000US01069,250.0,87044,18838,0,0,18838,105882,69361,36521,0.17791503749456944,0.21473162151641412,0.10799266175624983
0500000US01069,1000.0,87044,18838,0,0,18838,105882,69361,36521,0.17791503749456944,0.21473162151641412,0.10799266175624983
0500000US01071,250.0,3545,23535,23391,1155,48081,51626,11411,40215,0.9313330492387557,1.0,0.9118488126321025
0500000US01071,1000.0,4190,46294,988,154,47436,51626,11411,40215,0.918839344516329,0.9720445184471125,0.9037423846823325
0500000US01073,25.0,0,0,6221,652352,658573,658573,593306,65267,1.0,1.0,1.0
0500000US01073,100.0,10031,251725,391721,5096,648542,658573,593306,65267,0.9847685829816892,0.9977482108726357,0.86677800419814
0500000US01073,250.0,12560,409577,232102,4334,646013,658573,593306,65267,0.9809284619928239,0.9971953764162169,0.8330549895046502
0500000US01073,1000.0,424224,234349,0,0,234349,658573,593306,65267,0.3558436194620794,0.37359305316312325,0.1944933886956655
0500000US01077,25.0,0,0,16946,75783,92729,92729,46502,46227,1.0,1.0,1.0
0500000US01077,100.0,22314,43534,26797,84,70415,92729,46502,46227,0.7593633059776338,0.9659154444970108,0.5515824085491163
0500000US01077,250.0,76099,15236,1394,0,16630,92729,46502,46227,0.17933979661163174,0.16947658165240204,0.18926168689294134
0500000US01077,1000.0,79563,13166,0,0,13166,92729,46502,46227,0.14198362971670137,0.16947658165240204,0.1143271248404612
0500000US01079,250.0,15985,16939,0,0,16939,32924,2501,30423,0.5144879115538816,1.0,0.4745751569536206
0500000US01079,1000.0,32924,0,0,0,0,32924,2501,30423,0.0,0.0,0.0
0500000US01081,25.0,0,3,6065,158474,164542,164542,114655,49887,1.0,1.0,1.0
0500000US01081,100.0,32917,55329,50390,25906,131625,164542,114655,49887,0.7999477337093265,0.833395839692992,0.7230741475735162
0500000US01081,250.0,38707,50957,53075,21803,125835,164542,114655,49887,0.7647591496396057,0.7909903623915224,0.7044721069617336
0500000US01081,1000.0,109178,48880,6484,0,55364,164542,114655,49887,0.33647336242418346,0.40618376869739653,0.17625834385711708
0500000US01083,25.0,0,19,9097,89786,98902,98902,39730,59172,1.0,1.0,1.0
0500000US01083,100.0,10155,33800,34105,20842,88747,98902,39730,59172,0.8973226021718469,0.9915932544676567,0.8340262286216453
0500000US01083,250.0,11079,41430,37178,9215,87823,98902,39730,59172,0.8879800206264787,0.9913667253964259,0.8185628337727303
0500000US01083,1000.0,78586,19985,331,0,20316,98902,39730,59172,0.2054154617702372,0.18930279385854518,0.21623402960859867
0500000US01087,25.0,0,0,6060,11266,17326,17326,6524,10802,1.0,1.0,1.0
0500000US01087,100.0,7066,10260,0,0,10260,17326,6524,10802,0.5921736119127323,0.9901900674432863,0.3517867061655249
0500000US01087,250.0,7066,10260,0,0,10260,17326,6524,10802,0.5921736119127323,0.9901900674432863,0.3517867061655249
0500000US01087,1000.0,17296,30,0,0,30,17326,6524,10802,0.0017315017892185155,0.0,0.002777263469727828
0500000US01089,25.0,0,12,13263,359615,372890,372890,302728,70162,1.0,1.0,1.0
0500000US01089,100.0,15896,64814,85213,206967,356994,372890,302728,70162,0.9573708064040334,0.9671189979123174,0.9153102819189874
0500000US01089,250.0,16145,75452,79592,201701,356745,372890,302728,70162,0.9567030491565878,0.9667820617848365,0.9132151306975286
0500000US01089,1000.0,92503,155404,124305,678,280387,372890,302728,70162,0.7519295234519563,0.7982413255463651,0.5521079786779168
0500000US01091,25.0,0,0,15663,3200,18863,18863,5392,13471,1.0,1.0,1.0
0500000US01091,100.0,16055,2800,8,0,2808,18863,5392,13471,0.14886285320468642,0.0,0.20844777670551556
0500000US01091,250.0,16055,2808,0,0,2808,18863,5392,13471,0.14886285320468642,0.0,0.20844777670551556
0500000US01091,1000.0,18133,730,0,0,730,18863,5392,13471,0.038700100726289564,0.0,0.05419048326033702
0500000US01093,25.0,0,0,5225,24484,29709,29709,3181,26528,1.0,1.0,1.0
0500000US01093,100.0,6575,20032,3102,0,23134,29709,3181,26528,0.7786865932882292,0.9641622131405219,0.7564460193003619
0500000US01093,250.0,6575,20201,2933,0,23134,29709,3181,26528,0.7786865932882292,0.9641622131405219,0.7564460193003619
0500000US01093,1000.0,6616,23093,0,0,23093,29709,3181,26528,0.7773065401056919,0.9641622131405219,0.7549004825090471
0500000US01095,25.0,0,1,3889,92882,96772,96772,44946,51826,1.0,1.0,1.0
0500000US01095,100.0,4231,50243,33558,8740,92541,96772,44946,51826,0.9562786756499814,0.9959951942330797,0.9218346003936249
0500000US01095,250.0,4231,53274,32374,6893,92541,96772,44946,51826,0.9562786756499814,0.9959951942330797,0.9218346003936249
0500000US01095,1000.0,62533,27975,6264,0,34239,96772,44946,51826,0.3538110197164469,0.4596404574378143,0.26203064099100837
0500000US01097,25.0,0,0,26874,386336,413210,413210,329932,83278,1.0,1.0,1.0
