geo_id,broadband_tech,urban_rural,tribal_non,dl_speed,has_0,has_1,has_2,has_3more,total_pop
0500000US06053,ADSL,U,N,0.2,22610,356589,1326,0,380525
0500000US06055,ADSL,R,N,0.2,5610,13557,400,0,19567
0500000US06055,ADSL,U,N,0.2,3639,100204,14334,0,118177
0500000US06057,ADSL,R,N,0.2,17594,25027,146,0,42767
0500000US06057,ADSL,U,N,0.2,12135,44853,0,0,56988
0500000US06059,ADSL,R,N,0.2,6587,6491,0,0,13078
0500000US06059,ADSL,U,N,0.2,224218,2873012,65384,0,3162614
0500000US06061,ADSL,R,N,0.2,29351,38923,967,599,69840
0500000US06061,ADSL,R,T,0.2,11,1,0,0,12
0500000US06061,ADSL,U,N,0.2,50066,265539,12867,0,328472
0500000US06063,ADSL,R,N,0.2,7539,6364,0,0,13903
0500000US06063,ADSL,R,T,0.2,0,33,0,0,33
0500000US06063,ADSL,U,N,0.2,4809,62,0,0,4871
0500000US06065,ADSL,R,N,0.2,44998,127043,124,0,172165
0500000US06065,ADSL,R,T,0.2,2055,5712,0,0,7767
0500000US06065,ADSL,U,N,0.2,86009,2163356,6243,0,2255608
0500000US06065,ADSL,U,T,0.2,2340,32658,0,0,34998
0500000US06067,ADSL,R,N,0.2,6347,31034,1589,0,38970
0500000US06067,ADSL,U,N,0.2,39819,1394176,78579,510,1513084
0500000US06069,ADSL,R,N,0.2,8946,9047,1006,0,18999
0500000US06069,ADSL,U,N,0.2,1084,41002,1717,0,43803
0500000US06071,ADSL,R,N,0.2,59658,101985,958,0,162601
0500000US06071,ADSL,R,T,0.2,577,2367,0,0,2944
0500000US06071,ADSL,U,N,0.2,64652,1937811,11595,0,2014058
0500000US06071,ADSL,U,T,0.2,68,402,0,0,470
0500000US06073,ADSL,R,N,0.2,58989,81794,0,0,140783
0500000US06073,ADSL,R,T,0.2,6945,2698,0,0,9643
0500000US06073,ADSL,U,N,0.2,144824,3042698,0,0,3187522
0500000US06073,ADSL,U,T,0.2,15,367,0,0,382
0500000US06075,ADSL,R,N,0.2,1,0,1,0,2
0500000US06075,ADSL,U,N,0.2,11277,137306,288749,444215,881547
0500000US06077,ADSL,R,N,0.2,33011,41273,1194,0,75478
0500000US06077,ADSL,U,N,0.2,30161,654686,1817,0,686664
0500000US06079,ADSL,R,N,0.2,23909,28324,893,0,53126
0500000US06079,ADSL,U,N,0.2,19173,210479,333,0,229985
0500000US06081,ADSL,R,N,0.2,4098,10523,3000,0,17621
0500000US06081,ADSL,U,N,0.2,20439,460051,223538,44924,748952
0500000US06083,ADSL,R,N,0.2,10350,19991,184,0,30525
0500000US06083,ADSL,R,T,0.2,2,1,0,0,3
0500000US06083,ADSL,U,N,0.2,6674,406052,2950,0,415676
0500000US06083,ADSL,U,T,0.2,1,294,0,0,295
0500000US06085,ADSL,R,N,0.2,7046,20563,3609,0,31218
0500000US06085,ADSL,U,N,0.2,66463,1555049,260456,14666,1896634
0500000US06087,ADSL,R,N,0.2,11448,22719,1647,0,35814
0500000US06087,ADSL,U,N,0.2,18989,121249,97161,0,237399
0500000US06089,ADSL,R,N,0.2,11288,40571,1999,0,53858
0500000US06089,ADSL,R,T,0.2,1,41,0,0,42
0500000US06089,ADSL,U,N,0.2,3706,122440,0,0,126146
0500000US06089,ADSL,U,T,0.2,0,34,0,0,34
0500000US06091,ADSL,R,N,0.2,2431,565,0,0,2996
